user_id,churn_prob,risk_band,will_churn_14d
u001109,0.9813301386770202,high_risk,1
u001830,0.9736895834740745,high_risk,1
u000671,0.9680584470788529,high_risk,1
u000441,0.9678380655324896,high_risk,1
u001939,0.966088319260575,high_risk,1
u001346,0.9627044910960962,high_risk,1
u001676,0.9622372111704656,high_risk,1
u000404,0.9620382272104798,high_risk,1
u001393,0.9568832886519727,high_risk,1
u000894,0.9544101892958149,high_risk,1
u001228,0.9540517450393553,high_risk,1
u002165,0.9504506953069984,high_risk,1
u001475,0.9449577791826792,high_risk,1
u002500,0.9449520818204914,high_risk,1
u000286,0.9449273186554049,high_risk,1
u001210,0.9386024863927028,high_risk,1
u000325,0.9327672564730537,high_risk,1
u001422,0.9261299655504562,high_risk,1
u002035,0.9206084596563675,high_risk,1
u000012,0.9162985439885472,high_risk,1
u000064,0.9141904203280764,high_risk,1
u001233,0.9141545946956714,high_risk,1
u000401,0.9128582303967604,high_risk,1
u000200,0.9128451792226828,high_risk,1
u000722,0.911995975594449,high_risk,1
u000751,0.9113986884406928,high_risk,0
u000776,0.9037415828837602,high_risk,1
u001448,0.9004862483301812,high_risk,1
u000195,0.8999827488847578,high_risk,1
u002054,0.8993921615025994,high_risk,1
u001376,0.895700632189532,high_risk,1
u000466,0.8906140443761251,high_risk,1
u002363,0.8885710332361806,high_risk,0
u001570,0.8876278765847436,high_risk,1
u000324,0.8870637674303918,high_risk,1
u000947,0.8870096927586206,high_risk,1
u002039,0.8858638580770941,high_risk,1
u001784,0.885843113373462,high_risk,1
u001810,0.8836541757636358,high_risk,0
u000609,0.8821754690195777,high_risk,1
u001369,0.8813033031431053,high_risk,0
u002397,0.8802148987531567,high_risk,0
u001681,0.8801991495466135,high_risk,0
u002117,0.878404474222613,high_risk,0
u000529,0.878256123875171,high_risk,1
u000555,0.8752651325182415,high_risk,0
u000503,0.8722611820534693,high_risk,1
u001081,0.8719395320040296,high_risk,1
u000438,0.8714925901874822,high_risk,0
u001700,0.8645700875383863,high_risk,0
u000949,0.8606566276848853,high_risk,1
u000356,0.8579862499735768,high_risk,0
u000810,0.8545394738018293,high_risk,0
u001203,0.8536192829548034,high_risk,0
u000340,0.8533116057322083,high_risk,0
u001567,0.8512573813226773,high_risk,0
u000926,0.8489466273118162,high_risk,0
u001620,0.8446480990193889,high_risk,0
u002230,0.841935491262107,high_risk,0
u001243,0.840530309794191,high_risk,0
u000348,0.840382822274657,high_risk,1
u002143,0.8402120616458656,high_risk,1
u001707,0.8383642627256065,high_risk,0
u002228,0.8380059732127719,high_risk,0
u000843,0.8357252308036608,high_risk,1
u000691,0.8352325113737944,high_risk,1
u001837,0.8348180858866234,high_risk,0
u002218,0.8342813230019688,high_risk,0
u000141,0.8338552000386792,high_risk,0
u001443,0.8324757045766283,high_risk,1
u000515,0.826508180795099,high_risk,0
u001246,0.8263768209251179,high_risk,0
u000680,0.8245220770418717,high_risk,0
u002289,0.8237429791682666,high_risk,0
u000161,0.8211638438244805,high_risk,0
u002262,0.8209525787154341,high_risk,1
u001832,0.8198846706880318,high_risk,0
u000571,0.8051756612121078,high_risk,1
u000820,0.8047595472678108,high_risk,0
u001198,0.8038157273967906,high_risk,1
u002389,0.8016963405259309,high_risk,0
u000145,0.7991934839016593,high_risk,0
u000293,0.798735536581348,high_risk,1
u000382,0.7954576364893137,high_risk,0
u001336,0.7951879464811183,high_risk,0
u001037,0.7950205278029668,high_risk,1
u000451,0.7931004365366605,high_risk,0
u000686,0.7886248254831094,high_risk,1
u000594,0.7851046579819753,high_risk,1
u002122,0.783061517027166,high_risk,0
u001381,0.7825689859849955,high_risk,0
u001930,0.7824516683462693,high_risk,0
u000684,0.7803492275916281,high_risk,1
u000772,0.7757043154501312,high_risk,1
u001626,0.7749575861209196,high_risk,0
u001088,0.7741197401988417,high_risk,1
u002493,0.7729099646050137,high_risk,0
u001749,0.7720620468618039,high_risk,1
u001117,0.7716143399272642,high_risk,0
u001559,0.770664020638221,high_risk,0
u000499,0.7693635823201666,high_risk,1
u000347,0.7678695755926384,high_risk,0
u001421,0.765381222172817,high_risk,1
u002233,0.7643507690639136,high_risk,0
u000965,0.7638268663323975,high_risk,0
u001516,0.7565821200268995,high_risk,0
u001874,0.7505698814175322,high_risk,1
u002458,0.7455719682739512,high_risk,1
u001440,0.742232999176151,high_risk,0
u000764,0.741672692843826,high_risk,0
u000745,0.7407625378279938,high_risk,1
u000577,0.7314464786439604,high_risk,0
u000851,0.7301859646678971,high_risk,0
u000694,0.7205793651393904,high_risk,0
u000181,0.7191038248213736,high_risk,1
u002170,0.7140884367240937,high_risk,0
u002372,0.7138322448926062,high_risk,1
u002093,0.7129967810421678,high_risk,1
u000409,0.7127690485448308,high_risk,0
u001623,0.7104591690908036,high_risk,0
u001797,0.7103919067600393,high_risk,1
u002376,0.7101619559938598,high_risk,1
u001082,0.7091021646452237,high_risk,0
u001469,0.7083199899506923,high_risk,0
u001727,0.7076006373522264,high_risk,0
u000166,0.7068164992179525,high_risk,1
u001226,0.7062647653201393,high_risk,0
u000862,0.7050504434385595,high_risk,0
u001067,0.7007803777697929,high_risk,0
u000527,0.6955135400658512,high_risk,1
u001910,0.6905683241446956,high_risk,0
u000806,0.6862675762857368,high_risk,1
u000383,0.6837019563331717,high_risk,0
u000669,0.6836522565144207,high_risk,0
u002305,0.6808228406855492,high_risk,1
u000960,0.6802012869989194,high_risk,1
u000936,0.6764086200310211,high_risk,0
u000265,0.6755456714770188,high_risk,0
u000417,0.675046553643226,high_risk,0
u002148,0.670634618262439,high_risk,0
u000320,0.6704472024261765,high_risk,1
u002413,0.6698506912622855,high_risk,0
u002173,0.6647876017253177,high_risk,0
u000959,0.6621702463923769,high_risk,0
u000067,0.6605181854705099,high_risk,0
u000464,0.6581490058804594,high_risk,1
u000715,0.6574475844649322,high_risk,0
u001972,0.6554696233773285,high_risk,0
u001938,0.6542347964453866,high_risk,1
u001980,0.6536175001485913,high_risk,1
u001341,0.6527166541642643,high_risk,1
u001520,0.6514585157881757,high_risk,1
u002354,0.6496262273155083,high_risk,1
u002132,0.6492691746390287,high_risk,0
u001250,0.6461501710126148,high_risk,0
u000914,0.6415711425015987,high_risk,0
u002014,0.6314661822365932,high_risk,1
u001746,0.6303567760095239,high_risk,0
u000586,0.6232864049366424,high_risk,1
u001056,0.6216644493166887,high_risk,0
u002304,0.6178768376782509,high_risk,0
u000999,0.6143198037839173,high_risk,0
u002438,0.6117770250290038,high_risk,1
u000149,0.6115569123143901,high_risk,1
u002388,0.6102465068707528,high_risk,0
u001494,0.6088973032445772,high_risk,1
u001170,0.6046392630292992,high_risk,1
u001182,0.6045425864550421,high_risk,0
u000452,0.6009140161297913,high_risk,1
u001860,0.5970886354403036,medium_risk,0
u002242,0.5963662097576466,medium_risk,1
u000693,0.5961369747426293,medium_risk,0
u001743,0.5928891734763049,medium_risk,1
u001276,0.5925480452691345,medium_risk,1
u002240,0.5897436034359209,medium_risk,0
u000267,0.5867428908886299,medium_risk,0
u000922,0.5867190870344271,medium_risk,1
u002379,0.5793986203684122,medium_risk,0
u001591,0.5784335547838668,medium_risk,0
u000969,0.5773873161133151,medium_risk,0
u001751,0.5748896768836337,medium_risk,0
u001143,0.5748050537819017,medium_risk,0
u001647,0.5732301991789043,medium_risk,0
u000077,0.568206421421885,medium_risk,1
u001318,0.56698668120338,medium_risk,1
u000530,0.5662498088938535,medium_risk,0
u000642,0.5634552506939522,medium_risk,0
u000559,0.5573218544711405,medium_risk,1
u000470,0.5570987126510792,medium_risk,0
u001648,0.5556411746401004,medium_risk,1
u000437,0.5552409296278892,medium_risk,0
u001087,0.5480892355463064,medium_risk,0
u001184,0.5478531426399534,medium_risk,0
u000473,0.5451624862764768,medium_risk,0
u002113,0.5443309645307335,medium_risk,0
u000719,0.5432665973327027,medium_risk,1
u001679,0.5416605339086827,medium_risk,0
u001262,0.5397823104253212,medium_risk,1
u001206,0.5395075401986428,medium_risk,0
u001457,0.536961708123387,medium_risk,0
u000647,0.5367751880857979,medium_risk,1
u002180,0.5353739724702097,medium_risk,0
u001103,0.5316908638312767,medium_risk,0
u001030,0.5312482012834533,medium_risk,1
u001003,0.5292230375888183,medium_risk,0
u000396,0.5244023240632076,medium_risk,0
u000923,0.5233374858580943,medium_risk,1
u000008,0.5232474082935228,medium_risk,0
u000114,0.5226967109304346,medium_risk,0
u000205,0.5223489464853808,medium_risk,1
u000288,0.5203239026304806,medium_risk,0
u002358,0.5190091510605869,medium_risk,1
