user_id,week_start,active_days_week,total_minutes_week,sessions_week,feature_events_week,has_outlier_usage_week,payment_attempts_week,payment_failures_week,campaign_touches_week,campaign_clicks_week,campaign_redeemed_week,renewal_due_flag
u000001,2025-06-30,3,59.800000000000004,5,6,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-07-07,7,58.26,4,4,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-07-14,7,28.63,2,3,0,0.0,0.0,1.0,0.0,0.0,0
u000001,2025-07-21,7,54.98,5,9,0,1.0,0.0,0.0,0.0,0.0,0
u000001,2025-07-28,7,102.34,6,13,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-08-04,7,23.4,1,2,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-08-11,7,33.34,4,3,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-08-18,7,13.530000000000001,5,2,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-08-25,7,54.33,5,6,0,1.0,0.0,0.0,0.0,0.0,0
u000001,2025-09-01,7,6.37,1,1,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-09-08,7,26.799999999999997,4,3,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-09-15,6,33.42,4,3,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-09-22,7,30.46,2,6,0,1.0,0.0,0.0,0.0,0.0,0
u000001,2025-09-29,7,69.35,4,5,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-10-06,7,74.4,9,9,0,0.0,0.0,0.0,0.0,0.0,1
u000001,2025-10-13,7,22.27,1,2,0,0.0,0.0,0.0,0.0,0.0,1
u000001,2025-10-20,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-10-27,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-11-03,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-11-10,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-11-17,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-11-24,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-12-01,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-12-08,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-12-15,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-12-22,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2025-12-29,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2026-01-05,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2026-01-12,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000001,2026-01-19,7,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0
u000001,2026-01-26,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
u000002,2025-11-10,2,53.41,3,4,0,0.0,0.0,0.0,0.0,0.0,0
u000002,2025-11-17,7,99.65,9,8,0,1.0,0.0,0.0,0.0,0.0,0
