user_id,week_start,active_days_week,total_minutes_week,sessions_week,feature_events_week,has_outlier_usage_week,payment_attempts_week,payment_failures_week,campaign_touches_week,campaign_clicks_week,campaign_redeemed_week,renewal_due_flag,minutes_4w_avg,sessions_4w_avg,active_days_4w_avg,failures_8w_sum,attempts_8w_sum,failures_4w_sum,minutes_drop_pct,sessions_drop_pct,failure_rate_8w,failure_rate_4w,as_of_date,will_churn_14d,tenure_days,days_since_last_active,engagement_band,lifetime_paid_amount,lifetime_paid_months,plan_name,plan_price,price_band,sub_status
u000857,2026-01-12,7,18.33,1,5,0,0.0,0.0,0.0,0.0,0.0,1,181.79500000000002,9.5,7.0,1.0,1.0,1.0,-0.8991721395023399,-0.8947367479224476,0.9999990000010001,0.9999990000010001,2026-01-30,0,209,0,high,2495.0,5,Standard,499.0,mid,active
u001317,2026-01-12,7,150.89000000000001,8,17,0,0.0,0.0,0.0,0.0,0.0,1,200.22,13.5,7.0,1.0,2.0,1.0,-0.24637898188802818,-0.4074073772290832,0.499999750000125,0.499999750000125,2026-01-30,0,92,0,high,598.0,2,Basic,299.0,low,active
u002491,2026-01-12,7,214.75,13,25,0,0.0,0.0,0.0,0.0,0.0,1,109.67,8.0,6.5,0.0,2.0,0.0,0.9581471600424258,0.6249999218750099,0.0,0.0,2026-01-30,0,185,0,medium,2994.0,6,Standard,499.0,mid,active
u000665,2026-01-12,7,38.84,3,4,0,0.0,0.0,0.0,0.0,0.0,1,65.915,6.25,7.0,0.0,1.0,0.0,-0.4107562707918339,-0.5199999168000133,0.0,0.0,2026-01-30,0,121,0,medium,897.0,3,Basic,299.0,low,active
u000889,2026-01-12,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-30,0,267,0,low,0.0,0,Basic,299.0,low,expired
u000896,2026-01-12,7,154.25,6,16,0,0.0,0.0,0.0,0.0,0.0,1,255.1,12.25,7.0,0.0,1.0,0.0,-0.3953351611315752,-0.5102040399833437,0.0,0.0,2026-01-30,0,117,0,high,2397.0,3,Premium,799.0,high,active
u000865,2026-01-12,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,14.4725,1.25,7.0,1.0,2.0,1.0,-0.9999999309034424,-0.99999920000064,0.499999750000125,0.499999750000125,2026-01-30,0,58,0,low,299.0,1,Basic,299.0,low,cancelled
u001095,2026-01-12,7,88.36,4,12,0,0.0,0.0,0.0,0.0,0.0,1,103.98249999999999,5.75,7.0,0.0,2.0,0.0,-0.15024162575200986,-0.30434777315690903,0.0,0.0,2026-01-30,0,188,0,medium,2994.0,6,Standard,499.0,mid,active
u001318,2026-01-12,7,41.18,4,3,0,0.0,0.0,0.0,0.0,0.0,1,90.13499999999999,7.5,7.0,0.0,2.0,0.0,-0.5431297437939785,-0.46666660444445274,0.0,0.0,2026-01-30,1,122,0,medium,1996.0,4,Standard,499.0,mid,cancelled
u001367,2026-01-12,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-30,0,195,0,medium,598.0,2,Basic,299.0,low,cancelled
u000004,2026-01-12,7,308.82,16,32,1,0.0,0.0,0.0,0.0,0.0,1,208.20749999999998,11.0,7.0,0.0,2.0,0.0,0.4832318697298039,0.4545454132231443,0.0,0.0,2026-01-30,0,160,0,high,3995.0,5,Premium,799.0,high,active
u001126,2026-01-12,7,130.84,14,19,0,0.0,0.0,0.0,0.0,0.0,1,132.01749999999998,9.25,7.0,0.0,1.0,0.0,-0.008919271998641913,0.5135134579985451,0.0,0.0,2026-01-30,0,59,0,medium,499.0,1,Standard,499.0,mid,active
u002499,2026-01-12,6,154.36,8,21,1,0.0,0.0,0.0,0.0,0.0,1,94.1,5.25,6.75,1.0,2.0,1.0,0.6403825649268593,0.5238094240363002,0.499999750000125,0.499999750000125,2026-01-30,0,262,0,high,6392.0,8,Premium,799.0,high,active
u000673,2026-01-12,7,258.12,13,26,0,0.0,0.0,1.0,1.0,0.0,1,190.115,12.25,6.75,0.0,1.0,0.0,0.3577045453662018,0.061224484798001244,0.0,0.0,2026-01-30,0,111,0,medium,1497.0,3,Standard,499.0,mid,active
u000943,2026-01-12,7,60.43000000000001,2,6,0,0.0,0.0,1.0,0.0,0.0,1,83.89,4.25,7.0,0.0,1.0,0.0,-0.2796519218065094,-0.5294116401384376,0.0,0.0,2026-01-30,0,41,0,medium,299.0,1,Basic,299.0,low,active
u001094,2026-01-12,7,73.86,6,9,0,0.0,0.0,0.0,0.0,0.0,1,163.9775,10.75,7.0,0.0,1.0,0.0,-0.5495723465135622,-0.44186042401298387,0.0,0.0,2026-01-30,0,172,0,high,3995.0,5,Premium,799.0,high,active
